OBJECTID;UEA;PROY_COD;PROYECTO;MUESTRA;ESTE;NORTE;ELEVACION;PROYECCION;FECHA;GEOLOGO;TIPO_MATERIAL;ZONA;ANCHO;AZIMUT_STR;BUZAMIENTO_STR;ROCA_GENERAL;ALTERACION;ALT_INTENSIDAD;MINERALIZACION;TIPO_MINERALIZACION;TIPO_ESTRUCTURA;MIN_PRINCIPAL;MIN_SECUNDARIO;OBSERVACION;SINCRONIZACION;Au_ppm;Aucn_ppm;Ag_ppm;Al_pct;As_ppm;B_ppm;Ba_ppm;Be_ppm;Bi_ppm;Ca_pct;Cd_ppm;Ce_ppm;Co_ppm;Cr_ppm;Cs_ppm;Cu_ppm;Fe_pct;Ga_ppm;Ge_ppm;Hf_ppm;Hg_ppm;In_ppm;K_pct;La_ppm;Li_ppm;Lu_ppm;Mg_pct;Mn_ppm;Mo_ppm;Na_pct;Nb_ppm;Ni_ppm;P_pct;Pb_ppm;Rb_ppm;Re_ppm;S_pct;Sb_ppm;Se_ppm;Sc_ppm;Sn_ppm;Sr_ppm;Ta_ppm;Te_ppm;Tb_ppm;Th_ppm;Ti_pct;Tl_ppm;U_ppm;V_ppm;W_ppm;Y_ppm;Yb_ppm;Zn_ppm;Zr_ppm;TARGET
10417;TM;GAB;GABY;BWTBMEX5896;194902.6228;8293826.757;4919.2;P56U19S;3-Dec-2013;"Rosas; Mario";Estructura;Afloramiento;0.4;;;;;;;;Led;Sil;Cal;Estructura silico-argilico brechada con bandeamiento de calcita;21/11/2019 07:00;0.005;;0.2;0.86;69;;44;0.7;5;0.25;1;;14;5;;27.3;3.46;10;;;1;;0.24;19.2;;;0.19;744;1;0.03;1;4;0.08;34;;;0.18;5;;4.2;10;18.8;;0.005;;;0.01;2;;33;10;8.4;;67.1;5.1;GABY
10418;TM;GAB;GABY;BWTBMEX5895;194902.6528;8293826.356;4919.2;P56U19S;3-Dec-2013;"Rosas; Mario";Roca;Afloramiento;0.4;;;Volc;Argl;Mod;Si;Vnll;;;;Rca argilizada brechada con relleno de arcillas venillas de calcita;21/11/2019 07:00;0.005;;0.7;0.83;51;;52;0.5;5;0.2;1;;11;23;;27.2;3.36;10;;;1;;0.28;13.7;;;0.13;465;1;0.03;1;4;0.08;33;;;0.09;6;;3.7;10;26.2;;0.005;;;0.01;2;;32;10;5.6;;53.7;5.2;GABY
10419;TM;GAB;GABY;BWTBMEX5894;194902.6828;8293825.957;4919.2;P56U19S;3-Dec-2013;"Rosas; Mario";Estructura;Afloramiento;0.4;;;;;;;;Led;Sil;Qz;Estructura silico-argilico con venillas de cuarzo blanco hialino;21/11/2019 07:00;0.008;;0.7;0.67;91;;43;0.5;5;0.19;1;;9;25;;28.4;2.96;10;;;1;;0.24;14.4;;;0.09;516;1;0.02;1;1;0.07;49;;;0.12;5;;3.3;10;16.8;;0.005;;;0.01;2;;36;10;5.5;;66.3;4.4;GABY
10420;TM;GAB;GABY;BWTBMEX5893;194902.7227;8293825.457;4919.2;P56U19S;3-Dec-2013;"Rosas; Mario";Roca;Afloramiento;0.6;;;Volc;Argl;Mod;Si;Vnll;;;;Rca argilico brechada alterado venillas de calcita;21/11/2019 07:00;0.005;;0.2;0.88;67;;71;1;5;0.48;1;;14;22;;39.5;2.71;10;;;1;;0.25;26.1;;;0.21;933;1;0.02;1;1;0.07;25;;;0.01;5;;2.9;26;114;;0.006;;;0.01;2;;28;10;13.4;;60.9;4.3;GABY
10421;TM;GAB;GABY;BWTBMEX5892;194903.0037;8293822.076;4919.2;P56U19S;26-Nov-13;"Rosas; Mario";Estructura;Afloramiento;0.2;;;;;;;;Led;Sil;Qz;Estructura silico-argilico brechada alterado con bandeamiento de calcita;21/11/2019 07:00;0.005;;0.2;0.7;90;;44;0.5;5;0.16;3;;10;2;;11.5;3.01;10;;;1;;0.22;11;;;0.13;478;1;0.03;1;1;0.08;19;;;0.42;7;;3.1;10;12.3;;0.118;;;0.01;2;;33;10;5.3;;27.4;3.6;GABY
10422;TM;GAB;GABY;BWTBMEX5891;194903.0227;8293821.776;4919.2;P56U19S;26-Nov-13;"Rosas; Mario";Estructura;Afloramiento;0.4;;;;;;;;F;Pnz;Qz;falla panizo con arrastre de cuarzo blanco hialino triturado venillas de calcita;21/11/2019 07:00;0.005;;0.2;1.07;99;;35;0.7;5;0.5;1;;14;6;;13.5;4.28;10;;;1;;0.22;14.5;;;0.12;1082;1;0.02;1;3;0.07;24;;;0.02;5;;4.3;10;24.8;;0.139;;;0.01;2;;43;10;9.1;;94.7;4.7;GABY
10423;TM;GAB;GABY;BWTBMEX5890;194903.0531;8293821.427;4919.2;P56U19S;26-Nov-13;"Rosas; Mario";Roca;Afloramiento;0.3;;;Volc;Argl;Mod;No;;;;;Rca alterada argilizada;21/11/2019 07:00;0.005;;0.2;0.51;108;;34;0.5;5;0.35;1;;9;4;;9.3;3.25;10;;;1;;0.22;11.9;;;0.1;525;1;0.02;1;3;0.08;12;;;0.19;5;;3.3;10;8.3;;0.03;;;0.01;2;;33;10;8.5;;44.8;2.8;GABY
10424;TM;GAB;GABY;BWTBMEX5889;194894.4932;8293822.956;4919.2;P56U19S;26-Nov-13;"Rosas; Mario";Roca;Afloramiento;0.5;;;Volc;Argl;Deb;No;;;;;Rca argilica brechada alterada;21/11/2019 07:00;0.005;;0.4;0.84;31;;32;0.5;5;0.34;1;;9;10;;142;3.76;10;;;2;;0.24;15.5;;;0.19;378;1;0.02;1;2;0.07;2;;;0.11;6;;3.7;10;11.6;;0.09;;;0.01;2;;77;10;8.1;;45;5.3;GABY
10425;TM;GAB;GABY;BWTBMEX5888;194894.6337;8293823.386;4919.2;P56U19S;26-Nov-13;"Rosas; Mario";Estructura;Afloramiento;0.4;;;;;;;;Bx;Cal;;Estructura brechada alterada con relleno de arcillas venillas  de calcita;21/11/2019 07:00;0.005;;0.2;0.99;31;;33;0.8;5;0.52;2;;16;8;;50.6;3.57;10;;;4;;0.25;20.5;;;0.43;571;1;0.02;1;5;0.08;12;;;0.48;5;;3.3;10;12.7;;0.074;;;0.01;2;;73;10;10.5;;79.5;5.5;GABY
10426;TM;GAB;GABY;BWTBMEX5887;194892.953;8293831.067;4923.4;P56U19S;26-Nov-13;"Rosas; Mario";Roca;Afloramiento;0.4;;;Volc;Argl;Deb;No;;;;;Rca alterada argilica;21/11/2019 07:00;0.005;;0.2;1.25;105;;61;0.5;5;0.59;3;;18;5;;47;3.09;10;;;1;;0.2;16.2;;;0.5;678;1;0.02;1;1;0.08;17;;;0.02;5;;3.8;10;43.4;;0.151;;;0.01;2;;26;10;7.6;;68.3;5.1;GABY
10427;TM;GAB;GABY;BWTBMEX5886;194893.0928;8293831.546;4923.4;P56U19S;26-Nov-13;"Rosas; Mario";Roca;Afloramiento;0.6;;;Volc;Argl;Deb;No;;;;;Rca alterada argilizada;21/11/2019 07:00;0.005;;0.2;0.8;76;;37;0.7;5;0.46;1;;11;9;;90.9;3.73;10;;;1;;0.28;17.3;;;0.19;669;1;0.02;1;4;0.08;20;;;0.02;5;;2.9;10;19.5;;0.162;;;0.01;2;;35;10;8.3;;60;5.3;GABY
10428;TM;GAB;GABY;BWTBMEX5885;194893.2732;8293832.116;4923.4;P56U19S;26-Nov-13;"Rosas; Mario";Roca;Afloramiento;0.6;;;Volc;Argl;Deb;No;;;;;Rca alterada argilizada;21/11/2019 07:00;0.005;;0.2;1.06;58;;48;0.8;7;1.36;4;;11;3;;33;3.28;10;;;1;;0.24;18.1;;;0.18;611;1;0.02;1;1;0.08;26;;;0.01;6;;2.4;10;60.2;;0.133;;;0.01;2;;36;10;8.3;;48;4.8;GABY
10429;TM;GAB;GABY;BWTBMEX5884;194893.4033;8293832.596;4923.4;P56U19S;26-Nov-13;"Rosas; Mario";Estructura;Afloramiento;0.4;;;;;;;;Led;Sil;;Estructura silico-argilico;21/11/2019 07:00;0.005;;0.2;0.81;44;;45;0.6;5;0.58;2;;14;4;;16.9;2.92;10;;;2;;0.25;18.6;;;0.22;553;1;0.01;1;2;0.08;21;;;0.01;5;;2.6;10;36.6;;0.095;;;0.01;2;;43;10;8.6;;29.1;4.3;GABY
10430;TM;GAB;GABY;BWTBMEX5883;194893.4833;8293832.966;4923.4;P56U19S;26-Nov-13;"Rosas; Mario";Estructura;Afloramiento;0.35;;;;;;;;Vt;Sil;;Estructura silicificada brechada;21/11/2019 07:00;0.005;;0.2;1.13;23;;87;0.6;5;0.88;1;;13;11;;12.4;2.28;10;;;1;;0.27;20.1;;;0.52;517;1;0.02;1;3;0.08;20;;;0.01;5;;2.7;10;117;;0.152;;;0.02;2;;87;10;7.3;;60.7;5.9;GABY
10431;TM;GAB;GABY;BWTBMEX5882;194885.0435;8293834.846;4922.5;P56U19S;26-Nov-13;"Rosas; Mario";Estructura;Afloramiento;0.7;;;;;;;;Bx;Cal;;Estructura brechada argilizda con venilleo de calcita;21/11/2019 07:00;0.005;;3.9;0.67;181;;30;0.5;5;4.2;7;;16;8;;2115;3.02;10;;;2;;0.19;18;;;0.19;1024;1;0.03;1;1;0.06;2;;;0.18;267;;3.2;10;53.9;;0.144;;;0.03;2;;43;10;7.8;;50;4.6;GABY
10432;TM;GAB;GABY;BWTBMEX5881;194884.7433;8293835.366;4922.5;P56U19S;26-Nov-13;"Rosas; Mario";Estructura;Afloramiento;0.15;;;;;;;;Vt;Qz;Sulf;Veta de cuarzo blanco hialino con sulfuros;21/11/2019 07:00;0.005;;14.5;1.49;986;;84;0.6;5;3.81;8;;19;2;;8728;2.44;10;;;5;;0.18;16.9;;;0.21;747;1;0.06;1;2;0.07;14;;;0.71;1916;;3;10;166;;0.095;;;0.02;2;;33;10;7.3;;123;3.8;GABY
10433;TM;GAB;GABY;BWTBMEX5880;194884.5927;8293835.706;4922.5;P56U19S;26-Nov-13;"Rosas; Mario";Roca;Afloramiento;0.25;;;Volc;Inalt;;Si;Vnll;;;;Caja roca toba brecha de textura porfiritica con venillas de calcita;21/11/2019 07:00;0.005;;0.2;1.39;18;;327;0.5;5;3.51;1;;3;4;;39;2.31;10;;;2;;0.22;14.8;;;0.29;727;1;0.05;1;3;0.07;15;;;0.01;5;;2.7;10;732;;0.052;;;0.04;2;;17;10;6.2;;33.4;6.9;GABY
10434;TM;GAB;GABY;BWTBMEX5879;194884.0532;8293837.026;4922.5;P56U19S;26-Nov-13;"Rosas; Mario";Roca;Afloramiento;0.6;;;Volc;Argl;Mod;Si;Parch;;;;Rca argilizada alterada con fragmentos de silice gris relleno de arcillas puntos de galena esfalerita pirita diseminada hematita pirulosita;21/11/2019 07:00;0.005;;0.2;1.01;90;;40;0.6;5;2.1;1;;15;6;;15.4;3.43;10;;;3;;0.18;19;;;0.28;958;1;0.03;1;2;0.07;2;;;0.19;5;;3.9;10;73.8;;0.017;;;0.01;2;;25;10;9.2;;46.5;5.6;GABY
